city,feature,jm_distance,bhattacharyya
Avdiivka,s2__qa__cloud_freq__crossbattle__p50,1.0153548,0.70862097
Avdiivka,s2__qa__cloud_freq__crossbattle__p90,0.58491874,0.34596014
Avdiivka,s2__qa__cloud_freq__crossbattle__max_abs_delta,0.4708966,0.26846567
Avdiivka,s2__visibility__clear__freq__crossbattle__p10,0.28225303,0.15213364
Avdiivka,s2__visibility__clear__freq__crossbattle__p50,0.008378625,0.004198057
Avdiivka,s2__visibility__clear__freq__crossbattle__p90,0.023629785,0.01188526
Avdiivka,s2__visibility__clear__freq__crossbattle__min,0.24957621,0.13328922
Avdiivka,s2__visibility__clear__freq__crossbattle__max_abs_delta,0.3594141,0.19809377
Avdiivka,s2__visibility__cloud__freq__crossbattle__p50,0.08939111,0.04572515
Avdiivka,s2__visibility__cloud__freq__crossbattle__p90,0.43748605,0.2468511
Avdiivka,s2__visibility__cloud__freq__crossbattle__max_abs_delta,0.38897812,0.21627846
Avdiivka,s2__visibility__smoke__freq__crossbattle__p10,0.5365504,0.3123507
Avdiivka,s2__visibility__smoke__freq__crossbattle__p50,0.32357025,0.17648084
Avdiivka,s2__visibility__smoke__freq__crossbattle__p90,0.14548385,0.07552335
Avdiivka,s2__visibility__smoke__freq__crossbattle__max_abs_delta,0.3236637,0.17653652
Avdiivka,s2__composite__b02__post_winter_baseline__mean,0.09566271,0.049013134
Avdiivka,s2__composite__b02__post_winter_baseline__p10,0.07065475,0.03596645
Avdiivka,s2__composite__b02__post_winter_baseline__p50,0.09843552,0.050470214
Avdiivka,s2__composite__b02__post_winter_baseline__p90,0.12356639,0.06377426
Avdiivka,s2__composite__b02__post_winter_baseline__std,0.13913512,0.07210578
Avdiivka,s2__composite__b02__post_winter_baseline__min,0.06103313,0.030991878
Avdiivka,s2__composite__b02__post_winter_baseline__max,0.101110935,0.051878136
Avdiivka,s2__composite__b02__post_winter_baseline__max_abs_delta,0.11654103,0.06003724
Avdiivka,s2__composite__b03__post_winter_baseline__mean,0.09323847,0.04774085
Avdiivka,s2__composite__b03__post_winter_baseline__p10,0.06541586,0.033254698
Avdiivka,s2__composite__b03__post_winter_baseline__p50,0.101196766,0.05192334
Avdiivka,s2__composite__b03__post_winter_baseline__p90,0.12645853,0.06531666
Avdiivka,s2__composite__b03__post_winter_baseline__std,0.15594923,0.08118251
Avdiivka,s2__composite__b03__post_winter_baseline__min,0.061074495,0.03101326
Avdiivka,s2__composite__b03__post_winter_baseline__max,0.10482311,0.053834993
Avdiivka,s2__composite__b03__post_winter_baseline__max_abs_delta,0.13308752,0.06886117
Avdiivka,s2__composite__b04__post_winter_baseline__mean,0.086581826,0.04425583
Avdiivka,s2__composite__b04__post_winter_baseline__p10,0.068056345,0.034620546
Avdiivka,s2__composite__b04__post_winter_baseline__p50,0.10167873,0.052177228
Avdiivka,s2__composite__b04__post_winter_baseline__p90,0.11306882,0.05819543
Avdiivka,s2__composite__b04__post_winter_baseline__std,0.16170323,0.084307805
Avdiivka,s2__composite__b04__post_winter_baseline__min,0.061840177,0.031408235
Avdiivka,s2__composite__b04__post_winter_baseline__max,0.0989995,0.050766803
Avdiivka,s2__composite__b04__post_winter_baseline__max_abs_delta,0.14767694,0.07670658
Avdiivka,s2__composite__b05__post_winter_baseline__mean,0.06120503,0.03108053
Avdiivka,s2__composite__b05__post_winter_baseline__p10,0.04924321,0.02492981
Avdiivka,s2__composite__b05__post_winter_baseline__p50,0.064214826,0.032634106
Avdiivka,s2__composite__b05__post_winter_baseline__p90,0.071187854,0.03624287
