file,notebook,model_id,experiment_id,variant_id,n_rows,n_damaged,TP,FN,FP,TN,id_col,group,recall,precision
nb07/oof_predictions/oof_D1_blk_pre_baseline_all__20260423_211335_06ea54.parquet,nb07,D1_blk_pre_baseline_all,20260423_211335_06ea54,feat_set=pre_baseline_all,598595,7332,598,6734,33650,557613,building_id,buildings_v2,0.08156028368794327,0.017460873627657088
nb07/oof_predictions/oof_D1_blk_pre_baseline_mean__20260422_120607_06ea54.parquet,nb07,D1_blk_pre_baseline_mean,20260422_120607_06ea54,feat_set=pre_baseline_mean,598595,7332,598,6734,33642,557621,building_id,buildings_v2,0.08156028368794327,0.01746495327102804
nb07/oof_predictions/oof_D1_blk_pre_baseline_mean__20260422_144554_06ea54.parquet,nb07,D1_blk_pre_baseline_mean,20260422_144554_06ea54,feat_set=pre_baseline_mean,598595,7332,598,6734,33642,557621,building_id,buildings_v2,0.08156028368794327,0.01746495327102804
nb07/oof_predictions/oof_D1_blk_pre_baseline_mean__20260422_205106_06ea54.parquet,nb07,D1_blk_pre_baseline_mean,20260422_205106_06ea54,feat_set=pre_baseline_mean,598595,7332,598,6734,33642,557621,building_id,buildings_v2,0.08156028368794327,0.01746495327102804
nb07/oof_predictions/oof_D1_blk_pre_baseline_mean__20260423_002242_06ea54.parquet,nb07,D1_blk_pre_baseline_mean,20260423_002242_06ea54,feat_set=pre_baseline_mean,598595,7332,598,6734,33642,557621,building_id,buildings_v2,0.08156028368794327,0.01746495327102804
nb07/oof_predictions/oof_D1_blk_pre_baseline_mean__20260423_211335_06ea54.parquet,nb07,D1_blk_pre_baseline_mean,20260423_211335_06ea54,feat_set=pre_baseline_mean,598595,7332,598,6734,33643,557620,building_id,buildings_v2,0.08156028368794327,0.01746444321135481
nb07/oof_predictions/oof_D1_delta_only__20260422_120607_06ea54.parquet,nb07,D1_delta_only,20260422_120607_06ea54,feat_set=delta_only,598595,7332,598,6734,33645,557618,building_id,buildings_v2,0.08156028368794327,0.017463423181380135
nb07/oof_predictions/oof_D1_delta_only__20260422_144554_06ea54.parquet,nb07,D1_delta_only,20260422_144554_06ea54,feat_set=delta_only,598595,7332,598,6734,33645,557618,building_id,buildings_v2,0.08156028368794327,0.017463423181380135
nb07/oof_predictions/oof_D1_delta_only__20260422_205106_06ea54.parquet,nb07,D1_delta_only,20260422_205106_06ea54,feat_set=delta_only,598595,7332,598,6734,33645,557618,building_id,buildings_v2,0.08156028368794327,0.017463423181380135
nb07/oof_predictions/oof_D1_delta_only__20260423_002242_06ea54.parquet,nb07,D1_delta_only,20260423_002242_06ea54,feat_set=delta_only,598595,7332,598,6734,33645,557618,building_id,buildings_v2,0.08156028368794327,0.017463423181380135
nb07/oof_predictions/oof_D1_delta_only__20260423_211335_06ea54.parquet,nb07,D1_delta_only,20260423_211335_06ea54,feat_set=delta_only,598595,7332,598,6734,33645,557618,building_id,buildings_v2,0.08156028368794327,0.017463423181380135
nb07/oof_predictions/oof_D1_post_only__20260422_120607_06ea54.parquet,nb07,D1_post_only,20260422_120607_06ea54,feat_set=post_only,598595,7332,598,6734,33642,557621,building_id,buildings_v2,0.08156028368794327,0.01746495327102804
nb07/oof_predictions/oof_D1_post_only__20260422_144554_06ea54.parquet,nb07,D1_post_only,20260422_144554_06ea54,feat_set=post_only,598595,7332,598,6734,33642,557621,building_id,buildings_v2,0.08156028368794327,0.01746495327102804
nb07/oof_predictions/oof_D1_post_only__20260422_205106_06ea54.parquet,nb07,D1_post_only,20260422_205106_06ea54,feat_set=post_only,598595,7332,598,6734,33642,557621,building_id,buildings_v2,0.08156028368794327,0.01746495327102804
nb07/oof_predictions/oof_D1_post_only__20260423_002242_06ea54.parquet,nb07,D1_post_only,20260423_002242_06ea54,feat_set=post_only,598595,7332,598,6734,33642,557621,building_id,buildings_v2,0.08156028368794327,0.01746495327102804
nb07/oof_predictions/oof_D1_post_only__20260423_211335_06ea54.parquet,nb07,D1_post_only,20260423_211335_06ea54,feat_set=post_only,598595,7332,598,6734,33642,557621,building_id,buildings_v2,0.08156028368794327,0.01746495327102804
nb07/oof_predictions/oof_D1_pre+post+delta__20260422_120607_06ea54.parquet,nb07,D1_pre+post+delta,20260422_120607_06ea54,feat_set=pre+post+delta,598595,7332,603,6729,33642,557621,building_id,buildings_v2,0.08224222585924713,0.017608409986859395
nb07/oof_predictions/oof_D1_pre+post+delta__20260422_144554_06ea54.parquet,nb07,D1_pre+post+delta,20260422_144554_06ea54,feat_set=pre+post+delta,598595,7332,603,6729,33642,557621,building_id,buildings_v2,0.08224222585924713,0.017608409986859395
nb07/oof_predictions/oof_D1_pre+post+delta__20260422_205106_06ea54.parquet,nb07,D1_pre+post+delta,20260422_205106_06ea54,feat_set=pre+post+delta,598595,7332,603,6729,33642,557621,building_id,buildings_v2,0.08224222585924713,0.017608409986859395
nb07/oof_predictions/oof_D1_pre+post+delta__20260423_002242_06ea54.parquet,nb07,D1_pre+post+delta,20260423_002242_06ea54,feat_set=pre+post+delta,598595,7332,603,6729,33642,557621,building_id,buildings_v2,0.08224222585924713,0.017608409986859395
nb07/oof_predictions/oof_D1_pre+post+delta__20260423_211335_06ea54.parquet,nb07,D1_pre+post+delta,20260423_211335_06ea54,feat_set=pre+post+delta,598595,7332,603,6729,33642,557621,building_id,buildings_v2,0.08224222585924713,0.017608409986859395
nb07/oof_predictions/oof_D1_pre+post__20260422_120607_06ea54.parquet,nb07,D1_pre+post,20260422_120607_06ea54,feat_set=pre+post,598595,7332,600,6732,33643,557620,building_id,buildings_v2,0.08183306055646482,0.017521829278976726
nb07/oof_predictions/oof_D1_pre+post__20260422_144554_06ea54.parquet,nb07,D1_pre+post,20260422_144554_06ea54,feat_set=pre+post,598595,7332,600,6732,33643,557620,building_id,buildings_v2,0.08183306055646482,0.017521829278976726
nb07/oof_predictions/oof_D1_pre+post__20260422_205106_06ea54.parquet,nb07,D1_pre+post,20260422_205106_06ea54,feat_set=pre+post,598595,7332,600,6732,33643,557620,building_id,buildings_v2,0.08183306055646482,0.017521829278976726
nb07/oof_predictions/oof_D1_pre+post__20260423_002242_06ea54.parquet,nb07,D1_pre+post,20260423_002242_06ea54,feat_set=pre+post,598595,7332,600,6732,33643,557620,building_id,buildings_v2,0.08183306055646482,0.017521829278976726
nb07/oof_predictions/oof_D1_pre+post__20260423_211335_06ea54.parquet,nb07,D1_pre+post,20260423_211335_06ea54,feat_set=pre+post,598595,7332,600,6732,33643,557620,building_id,buildings_v2,0.08183306055646482,0.017521829278976726
nb07/oof_predictions/oof_D1_pre_only__20260422_120607_06ea54.parquet,nb07,D1_pre_only,20260422_120607_06ea54,feat_set=pre_only,598595,7332,598,6734,33643,557620,building_id,buildings_v2,0.08156028368794327,0.01746444321135481
nb07/oof_predictions/oof_D1_pre_only__20260422_144554_06ea54.parquet,nb07,D1_pre_only,20260422_144554_06ea54,feat_set=pre_only,598595,7332,598,6734,33643,557620,building_id,buildings_v2,0.08156028368794327,0.01746444321135481
nb07/oof_predictions/oof_D1_pre_only__20260422_205106_06ea54.parquet,nb07,D1_pre_only,20260422_205106_06ea54,feat_set=pre_only,598595,7332,598,6734,33643,557620,building_id,buildings_v2,0.08156028368794327,0.01746444321135481
nb07/oof_predictions/oof_D1_pre_only__20260423_002242_06ea54.parquet,nb07,D1_pre_only,20260423_002242_06ea54,feat_set=pre_only,598595,7332,598,6734,33643,557620,building_id,buildings_v2,0.08156028368794327,0.01746444321135481
nb07/oof_predictions/oof_D1_pre_only__20260423_211335_06ea54.parquet,nb07,D1_pre_only,20260423_211335_06ea54,feat_set=pre_only,598595,7332,598,6734,33643,557620,building_id,buildings_v2,0.08156028368794327,0.01746444321135481
nb07/oof_predictions/oof_D1c_post_composite__20260422_120607_06ea54.parquet,nb07,D1c_post_composite,20260422_120607_06ea54,post_only,480313,7186,178,7008,18846,454281,building_id,buildings_v2,0.024770386863345394,0.009356602186711522
nb07/oof_predictions/oof_D1c_post_composite__20260422_205106_06ea54.parquet,nb07,D1c_post_composite,20260422_205106_06ea54,post_only,480313,7186,178,7008,18846,454281,building_id,buildings_v2,0.024770386863345394,0.009356602186711522
nb07/oof_predictions/oof_D1c_post_composite__20260423_002242_06ea54.parquet,nb07,D1c_post_composite,20260423_002242_06ea54,post_only,480313,7186,178,7008,18846,454281,building_id,buildings_v2,0.024770386863345394,0.009356602186711522
nb07/oof_predictions/oof_D1c_post_composite__20260423_211335_06ea54.parquet,nb07,D1c_post_composite,20260423_211335_06ea54,post_only,480313,7186,178,7008,18846,454281,building_id,buildings_v2,0.024770386863345394,0.009356602186711522
nb07/oof_predictions/oof_D1c_pre_composite__20260422_120607_06ea54.parquet,nb07,D1c_pre_composite,20260422_120607_06ea54,pre_only,480313,7186,159,7027,18901,454226,building_id,buildings_v2,0.022126356804898415,0.008342077649527806
nb07/oof_predictions/oof_D1c_pre_composite__20260422_205106_06ea54.parquet,nb07,D1c_pre_composite,20260422_205106_06ea54,pre_only,480313,7186,159,7027,18901,454226,building_id,buildings_v2,0.022126356804898415,0.008342077649527806
nb07/oof_predictions/oof_D1c_pre_composite__20260423_002242_06ea54.parquet,nb07,D1c_pre_composite,20260423_002242_06ea54,pre_only,480313,7186,159,7027,18901,454226,building_id,buildings_v2,0.022126356804898415,0.008342077649527806
nb07/oof_predictions/oof_D1c_pre_composite__20260423_211335_06ea54.parquet,nb07,D1c_pre_composite,20260423_211335_06ea54,pre_only,480313,7186,158,7028,18882,454245,building_id,buildings_v2,0.021987197328138045,0.008298319327731092
nb07/oof_predictions/oof_D1d_delta_only__20260422_120607_06ea54.parquet,nb07,D1d_delta_only,20260422_120607_06ea54,feat_set=delta_only,598595,7332,598,6734,33645,557618,building_id,buildings_v2,0.08156028368794327,0.017463423181380135
nb07/oof_predictions/oof_D1d_delta_only__20260422_205106_06ea54.parquet,nb07,D1d_delta_only,20260422_205106_06ea54,feat_set=delta_only,598595,7332,598,6734,33645,557618,building_id,buildings_v2,0.08156028368794327,0.017463423181380135
nb07/oof_predictions/oof_D1d_delta_only__20260423_002242_06ea54.parquet,nb07,D1d_delta_only,20260423_002242_06ea54,feat_set=delta_only,598595,7332,598,6734,33645,557618,building_id,buildings_v2,0.08156028368794327,0.017463423181380135
nb07/oof_predictions/oof_D1d_delta_only__20260423_211335_06ea54.parquet,nb07,D1d_delta_only,20260423_211335_06ea54,feat_set=delta_only,598595,7332,598,6734,33645,557618,building_id,buildings_v2,0.08156028368794327,0.017463423181380135
nb07/oof_predictions/oof_D1d_post_only__20260422_120607_06ea54.parquet,nb07,D1d_post_only,20260422_120607_06ea54,feat_set=post_only,598595,7332,598,6734,33642,557621,building_id,buildings_v2,0.08156028368794327,0.01746495327102804
nb07/oof_predictions/oof_D1d_post_only__20260422_205106_06ea54.parquet,nb07,D1d_post_only,20260422_205106_06ea54,feat_set=post_only,598595,7332,598,6734,33642,557621,building_id,buildings_v2,0.08156028368794327,0.01746495327102804
nb07/oof_predictions/oof_D1d_post_only__20260423_002242_06ea54.parquet,nb07,D1d_post_only,20260423_002242_06ea54,feat_set=post_only,598595,7332,598,6734,33642,557621,building_id,buildings_v2,0.08156028368794327,0.01746495327102804
nb07/oof_predictions/oof_D1d_post_only__20260423_211335_06ea54.parquet,nb07,D1d_post_only,20260423_211335_06ea54,feat_set=post_only,598595,7332,598,6734,33642,557621,building_id,buildings_v2,0.08156028368794327,0.01746495327102804
nb07/oof_predictions/oof_D1d_pre+post+delta__20260422_120607_06ea54.parquet,nb07,D1d_pre+post+delta,20260422_120607_06ea54,feat_set=pre+post+delta,598595,7332,603,6729,33642,557621,building_id,buildings_v2,0.08224222585924713,0.017608409986859395
nb07/oof_predictions/oof_D1d_pre+post+delta__20260422_205106_06ea54.parquet,nb07,D1d_pre+post+delta,20260422_205106_06ea54,feat_set=pre+post+delta,598595,7332,603,6729,33642,557621,building_id,buildings_v2,0.08224222585924713,0.017608409986859395
nb07/oof_predictions/oof_D1d_pre+post+delta__20260423_002242_06ea54.parquet,nb07,D1d_pre+post+delta,20260423_002242_06ea54,feat_set=pre+post+delta,598595,7332,603,6729,33642,557621,building_id,buildings_v2,0.08224222585924713,0.017608409986859395
nb07/oof_predictions/oof_D1d_pre+post+delta__20260423_211335_06ea54.parquet,nb07,D1d_pre+post+delta,20260423_211335_06ea54,feat_set=pre+post+delta,598595,7332,603,6729,33642,557621,building_id,buildings_v2,0.08224222585924713,0.017608409986859395
nb07/oof_predictions/oof_D1d_pre_only__20260422_120607_06ea54.parquet,nb07,D1d_pre_only,20260422_120607_06ea54,feat_set=pre_only,598595,7332,598,6734,33643,557620,building_id,buildings_v2,0.08156028368794327,0.01746444321135481
